x_i    u(x_i)
0    -0.0246852306021076
0.03125    0.569243491315804
0.0625    0.80970030618877
0.09375    0.897106619826924
0.125    0.921730715497523
0.15625    0.922022823829115
0.1875    0.91348531583685
0.21875    0.902037513386342
0.25    0.889818794306814
0.28125    0.877557981341996
0.3125    0.865485224530621
0.34375    0.853663586210752
0.375    0.842103222701977
0.40625    0.830798691868465
0.4375    0.819740528506843
0.46875    0.808918643188445
0.5    0.798323249111047
0.53125    0.787945077588347
0.5625    0.777775399895763
0.59375    0.767806000821714
0.625    0.75802914283313
0.65625    0.74843753064737
0.6875    0.739024278373601
0.71875    0.729782879484169
0.75    0.720707179440937
0.78125    0.7117913507262
0.8125    0.703029870035443
0.84375    0.694417497412931
0.875    0.685949257135706
0.90625    0.677620420173719
0.9375    0.669426488073371
0.96875    0.661363178128785
1    0.653426409720027
