x_i    u(x_i)
0    -0.194113909382038
0.03125    0.596689953244168
0.0625    0.846574154103972
0.09375    0.91894891784215
0.125    0.933206816355564
0.15625    0.928596293812656
0.1875    0.918020644982062
0.21875    0.905716525920808
0.25    0.893068069611509
0.28125    0.880520466031705
0.3125    0.868210167362506
0.34375    0.856172522793108
0.375    0.84441018639583
0.40625    0.832915629109396
0.4375    0.821678516683998
0.46875    0.810688098210347
0.5    0.799933952109286
0.53125    0.789406193943485
0.5625    0.779095510290924
0.59375    0.768993138576058
0.625    0.75909083208928
0.65625    0.749380822817221
0.6875    0.739855785954345
0.71875    0.730508807110597
0.75    0.721333352318665
0.78125    0.712323240671644
0.8125    0.703472619356489
0.84375    0.694775940848411
0.875    0.686227942049833
0.90625    0.677823625179783
0.9375    0.66955824024092
0.96875    0.661427268910672
1    0.653426409720027
