eps    err    monotone
1    0.106541224436526    False
0.5    0.221707037337132    False
0.25    0.683924706445095    False
0.1    3.79717129345954    False
0.05    11.3985395491156    False
0.01    33.493868585832    False
0.005    36.8459271029763    False
0.001    39.3986019071628    False
0.0001    NaN    False
