x_i    u(x_i)
0    -2.48950224618349E-06
0.03125    0.636714630360987
0.0625    0.857989661194926
0.09375    0.92228219386606
0.125    0.932254534733552
0.15625    0.925235017019064
0.1875    0.913575089835344
0.21875    0.900963765279252
0.25    0.888381268669802
0.28125    0.876050156805683
0.3125    0.864005615346783
0.34375    0.852242812530368
0.375    0.840750144076151
0.40625    0.829515647278978
0.4375    0.818527996513691
0.46875    0.807776580432953
0.5    0.797251456221622
0.53125    0.786943295677125
0.5625    0.776843335646937
0.59375    0.766943333306234
0.625    0.757235525771275
0.65625    0.747712593555574
0.6875    0.738367627438455
0.71875    0.729194098370763
0.75    0.720185830089733
0.78125    0.711336974155629
0.8125    0.702641987157662
0.84375    0.694095609866904
0.875    0.685692848140015
0.90625    0.677428955400286
0.9375    0.669299416542228
0.96875    0.66129993312312
1    0.653426409720027
