t    error
0    0
0.015625    4.93613352336047
0.03125    5.68502528848787
0.046875    4.48280075349076
0.0625    3.4050268966742
0.078125    2.62564896352452
0.09375    2.18594049312522
0.109375    1.99141514486214
0.125    1.7944447708006
0.140625    1.61309966922749
0.15625    1.45240461590002
0.171875    1.31220834622159
0.1875    1.19051783390893
0.203125    1.08488119424077
0.21875    1.00304149617909
0.234375    0.951554349996664
0.25    0.902047320994359
0.265625    0.855080573894607
0.28125    0.810893595800954
0.296875    0.769534860239507
0.3125    0.730941716085709
0.328125    0.694989683829139
0.34375    0.661522814434101
0.359375    0.630372251633693
0.375    0.601367410636716
0.390625    0.574342523304006
0.40625    0.551231834220756
0.421875    0.534131917968317
0.4375    0.517580692754527
0.453125    0.501605767228763
0.46875    0.486219708353752
0.484375    0.471424153243816
0.5    0.457212879178803
0.515625    0.443574098550115
0.53125    0.430492174950226
0.546875    0.417948905426502
0.5625    0.40592447658705
0.578125    0.394398174877753
0.59375    0.383348911188197
0.609375    0.372755605017266
0.625    0.362597462327785
0.640625    0.352854172925704
0.65625    0.344131029451922
0.671875    0.337134271967987
0.6875    0.330302285567052
0.703125    0.323636817791495
0.71875    0.317138324881483
0.734375    0.310806222821125
0.75    0.304639094533621
0.765625    0.298634860958225
0.78125    0.292790922324138
0.796875    0.287104274792427
0.8125    0.281571606708786
0.828125    0.276189377955993
0.84375    0.270953885280867
0.859375    0.265861315969107
0.875    0.260907791831816
0.890625    0.256089405129817
0.90625    0.251402247786547
0.921875    0.246842435011896
0.9375    0.242406124270822
0.953125    0.238089530376878
0.96875    0.234123566482558
0.984375    0.230788747413624
1    0.22751216096979
1.015625    0.224293815380284
1.03125    0.221133548178499
1.046875    0.218031050989854
1.0625    0.214985891187149
1.078125    0.211997530811517
1.09375    0.209065343104346
1.109375    0.20618862695066
1.125    0.203366619494492
1.140625    0.200598507154062
1.15625    0.197883435233957
1.171875    0.195220516308221
1.1875    0.192608837524074
1.203125    0.190047466959
1.21875    0.187535459146451
1.234375    0.185071859870945
1.25    0.182655710321631
1.265625    0.180286050681481
1.28125    0.177961923221153
1.296875    0.175682374956577
1.3125    0.173446459923676
1.328125    0.171253241115955
1.34375    0.169204694812508
1.359375    0.167428466772461
1.375    0.165675883959564
1.390625    0.16394687588019
1.40625    0.162241341240244
1.421875    0.16055915142058
1.4375    0.158900153621177
1.453125    0.157264173706189
1.46875    0.155651018777893
1.484375    0.154060479505276
1.5    0.152492332230436
1.515625    0.150946340873542
1.53125    0.149422258655287
1.546875    0.147919829653644
1.5625    0.146438790210623
1.578125    0.144978870202387
1.59375    0.143539794186083
1.609375    0.142121282434093
1.625    0.140723051866079
1.640625    0.139344816888971
1.65625    0.137986290151941
1.671875    0.136647183225663
1.6875    0.135327207211573
1.703125    0.134026073288083
1.71875    0.13274349319937
1.734375    0.131479179692078
1.75    0.130232846904508
1.765625    0.129004210712428
1.78125    0.127843464363349
1.796875    0.126815226653436
1.8125    0.125797713266003
1.828125    0.124790883311497
1.84375    0.123794688891133
1.859375    0.122809075730954
1.875    0.12183398376849
1.890625    0.120869347695937
1.90625    0.119915097463562
1.921875    0.118971158744946
1.9375    0.118037453368146
1.953125    0.117113899714546
1.96875    0.116200413087976
1.984375    0.115296906056351
2    0.114403288767374
2.015625    0.113519469241042
2.03125    0.112645353639405
2.046875    0.111780846516589
2.0625    0.110925851049303
2.078125    0.110080269249943
2.09375    0.109244002163315
2.109375    0.108416950048024
2.125    0.107599012544048
2.140625    0.106790088826907
2.15625    0.105990077749659
2.171875    0.105198877973865
2.1875    0.10441638808972
2.203125    0.103642506726559
2.21875    0.102877132654413
2.234375    0.102120164876807
2.25    0.101371502716104
2.265625    0.100631045891256
2.28125    0.0999256133172514
2.296875    0.0992908163639451
2.3125    0.098661332289652
2.328125    0.0980371406224931
2.34375    0.097418218983601
2.359375    0.0968045432289444
2.375    0.0961960875825373
2.390625    0.0955928247617315
2.40625    0.0949947260953931
2.421875    0.0944017616343397
2.4375    0.0938139002561273
2.453125    0.0932311097628194
2.46875    0.0926533569733832
2.484375    0.0920806078103005
2.5    0.091512827381183
2.515625    0.0909499800553688
2.53125    0.0903920295359782
2.546875    0.0898389389276273
2.5625    0.0892906707999128
2.578125    0.0887471872471872
2.59375    0.0882084499447037
2.609375    0.0876744202012639
2.625    0.08714505900849
2.640625    0.0866203270873983
2.65625    0.0861001849317871
2.671875    0.0855845928491587
2.6875    0.0850735109986221
2.703125    0.0845668994270406
2.71875    0.0840647181025373
2.734375    0.083566926945602
2.75    0.0830734858587101
2.765625    0.0825843547537767
2.78125    0.0820994935777668
2.796875    0.0816188623365295
2.8125    0.0811424211173104
2.828125    0.0806701301094101
2.84375    0.0802172556903056
2.859375    0.0798048337528369
2.875    0.0793952389788268
2.890625    0.078988461146958
2.90625    0.078584489438267
2.921875    0.0781833124737768
2.9375    0.0777849183496084
2.953125    0.0773892946707158
2.96875    0.0769964285830002
2.984375    0.0766063068037246
3    0.0762189156504521
3.015625    0.0758342410687408
3.03125    0.0754522686582945
3.046875    0.0750729836980261
3.0625    0.0746963711696547
3.078125    0.0743224157803589
3.09375    0.0739511019842093
3.109375    0.0735824140026122
3.125    0.0732163358436984
3.140625    0.0728528513207572
3.15625    0.0724919440697161
3.171875    0.0721335975658198
3.1875    0.0717777951396218
3.203125    0.0714245199917431
3.21875    0.071073755207309
3.234375    0.0707254837695085
3.25    0.070379688572388
3.265625    0.0700363524331892
3.28125    0.0696954581038101
3.296875    0.0693569882819557
3.3125    0.0690209256213323
