t    error
0    0
0.015625    18.2689472335273
0.03125    9.27006897475899
0.046875    6.12972167897806
0.0625    5.76894723352726
0.078125    3.90373769649892
0.09375    3.89089339380763
0.109375    3.22231358881946
0.125    2.83125163047471
0.140625    2.64394723352727
0.15625    2.17389843911854
0.171875    2.19830712510782
0.1875    1.86325089746032
0.203125    1.85697426680922
0.21875    1.67083355282077
0.234375    1.59203945343046
0.25    1.49953805383976
0.265625    1.38282407834062
0.28125    1.35048864503551
0.296875    1.21476835750738
0.3125    1.22170110376463
0.328125    1.10451172588089
0.34375    1.11043509552196
0.359375    1.030967309925
0.375    1.01401560907862
0.390625    0.962905515997958
0.40625    0.930088395854389
0.421875    0.900464763565556
0.4375    0.856665628601805
0.453125    0.843429135350726
0.46875    0.792097982093287
0.484375    0.791423104640576
0.5    0.736193823574349
0.515625    0.744013534439891
0.53125    0.702095335303921
0.546875    0.700762271827915
0.5625    0.669807242310905
0.578125    0.661252144255675
0.59375    0.639358745453489
0.609375    0.625098596633444
0.625    0.610718898300155
0.640625    0.591953636166109
0.65625    0.583821185252131
0.671875    0.561505753795744
0.6875    0.558579322208863
0.703125    0.533477850110797
0.71875    0.534897384289246
0.734375    0.509836191967095
0.75    0.512676242537324
0.765625    0.492579269281956
0.78125    0.491817587737464
0.796875    0.476040945534661
0.8125    0.47222637302835
0.828125    0.460216129947622
0.84375    0.453812220709171
0.859375    0.445090570036
0.875    0.43649015317021
0.890625    0.430643875633707
0.90625    0.4201808866381
0.921875    0.41685170942638
0.9375    0.404810846515114
0.953125    0.403687370265216
0.96875    0.390312010050686
0.984375    0.39112293261181
1    0.377360802026816
1.015625    0.379130060667633
1.03125    0.367628940589283
1.046875    0.367680583645693
1.0625    0.358215478999583
1.078125    0.356746895515286
1.09375    0.349116916746646
1.109375    0.346302225791983
1.125    0.340327735531858
1.140625    0.336320815738446
1.15625    0.331840941098727
1.171875    0.326778025405831
1.1875    0.32364848696085
1.203125    0.317650390374144
1.21875    0.315741605321554
1.234375    0.308915642200178
1.25    0.308111064919273
1.265625    0.300552702985062
1.28125    0.30074737124347
1.296875    0.292541661799803
1.3125    0.293640921242921
1.328125    0.286257904012971
1.34375    0.286782122066986
1.359375    0.280478506665284
1.375    0.280161481365162
1.390625    0.274852770029145
1.40625    0.273769675098216
1.421875    0.269378467371784
1.4375    0.267597597575238
1.453125    0.26405292928341
1.46875    0.261636397461782
1.484375    0.258873146724139
1.5    0.255877502734253
1.515625    0.25383585585868
1.53125    0.250312636951225
1.546875    0.248937607808892
1.5625    0.244933828729019
1.578125    0.244174825903304
1.59375    0.239733415927993
1.609375    0.239543852552336
1.625    0.23470404574999
1.640625    0.235040987508919
1.65625    0.229917198578207
1.671875    0.230662518972063
1.6875    0.226160895155031
1.703125    0.226404748742016
1.71875    0.222485707693508
1.734375    0.22226401243124
1.75    0.21889067634766
1.765625    0.218236695566149
1.78125    0.215374685981089
1.796875    0.214319246275178
1.8125    0.211936495816845
1.828125    0.210508185142551
1.84375    0.208574764780381
1.859375    0.20680011271233
1.875    0.20528807314434
1.890625    0.203191715045536
1.90625    0.20207494099784
1.921875    0.199679767669794
1.9375    0.198933843985216
1.953125    0.196261138202218
1.96875    0.195863226696889
1.984375    0.192932787883056
2    0.192861514039736
2.015625    0.189691772217292
2.03125    0.189927120868127
2.046875    0.186552071319742
2.0625    0.187058460117787
2.078125    0.184045098229315
2.09375    0.184253949649715
2.109375    0.181583285982762
2.125    0.181512017983525
2.140625    0.179166132237485
2.15625    0.178831109074661
2.171875    0.176793083131551
2.1875    0.176209686267919
2.203125    0.174463541816668
2.21875    0.173646235542596
2.234375    0.172176875952765
2.25    0.171139268147977
2.265625    0.169932424286233
2.28125    0.16868732271525
2.296875    0.167729502420035
2.3125    0.166288966919598
2.328125    0.165567407870483
2.34375    0.163942798756525
2.359375    0.163445424494097
2.375    0.161647447488294
2.390625    0.161362826357834
2.40625    0.159401574307816
2.421875    0.159318881118011
2.4375    0.157203872761823
2.453125    0.157312852964308
2.46875    0.155053068969935
2.484375    0.155344005180175
2.5    0.153182477501741
2.515625    0.153411602363245
2.53125    0.1514649032169
2.546875    0.151514912346248
2.5625    0.149773600500108
2.578125    0.149653207851885
2.59375    0.148108285659021
2.609375    0.147825767913775
2.625    0.146468658094289
2.640625    0.146031879090087
2.65625    0.144854402844537
2.671875    0.144270836493689
2.6875    0.143265192867726
2.703125    0.142541944661232
2.71875    0.141700691084569
2.734375    0.140844518279081
2.75    0.140160552208188
2.765625    0.139177882783765
2.78125    0.138644424380574
2.796875    0.13754137485092
2.8125    0.137151950635745
2.828125    0.135934342787285
2.84375    0.135682770205923
2.859375    0.13435614683608
2.875    0.134236519686895
2.890625    0.132806159407336
2.90625    0.132812834075993
2.921875    0.131283765241743
2.9375    0.131411347695476
2.953125    0.129788361516679
2.96875    0.130031695012289
2.984375    0.1285404392445
3    0.128673511364725
3.015625    0.127318382900868
3.03125    0.127336433604996
3.046875    0.126112346274348
3.0625    0.126020100665832
3.078125    0.124922171076063
3.09375    0.12472415405886
3.109375    0.123747692581108
3.125    0.123448238311346
3.140625    0.122588740505442
3.15625    0.122192001347242
3.171875    0.121445139804193
3.1875    0.120955094818423
3.203125    0.120316711398489
3.21875    0.11973717439074
3.234375    0.119203272836538
3.25    0.11853789998944
3.265625    0.118104638894862
3.28125    0.117356936008123
3.296875    0.117020622124416
3.3125    0.116193951485003
3.328125    0.11595103334683
3.34375    0.115048620249259
3.359375    0.11489568210401
3.375    0.113920621041421
3.390625    0.113854377066326
