iteration    errorX    errorY
0    0.707106781186548    0.707106781186548
1    0.35505395183999    0.35505395183999
2    0.195427837472812    0.195427837472812
3    0.107929571763656    0.107929571763656
4    0.0774543302474912    0.0774543302474912
5    0.065480681207045    0.065480681207045
6    0.0511562046099335    0.0511562046099335
7    0.0413098164871089    0.0413098164871089
8    0.030147030560948    0.030147030560948
9    0.0204283505009415    0.0204283505009415
10    0.0129495930404515    0.0129495930404515
11    0.00759193921638124    0.00759193921638124
12    0.00644666841236452    0.00644666841236452
13    0.00559295967234352    0.00559295967234352
14    0.00481860480346274    0.00481860480346274
15    0.00413509046971183    0.00413509046971183
16    0.00354051061547356    0.00354051061547356
17    0.00306458049034617    0.00306458049034617
18    0.00270854241518235    0.00270854241518235
19    0.00237351177239872    0.00237351177239872
20    0.00206687592561686    0.00206687592561686
21    0.00179141522849207    0.00179141522849207
22    0.00154716999365017    0.00154716999365017
23    0.00133262812922664    0.00133262812922664
24    0.00114547262687093    0.00114547262687093
25    0.000983044142478745    0.000983044142478745
