x_i    u(x_i)
0    0.396592538144079
0.00390625    0.407609141201424
0.0078125    0.417798238322989
0.01171875    0.42722198727495
0.015625    0.435937877087645
0.01953125    0.443999078849977
0.0234375    0.451454770154092
0.02734375    0.458350435169583
0.03125    0.464728142177784
0.03515625    0.470626800259231
0.0390625    0.47608239670019
0.04296875    0.48112821656653
0.046875    0.485795045784419
0.05078125    0.490111358966739
0.0546875    0.494103493131014
0.05859375    0.497795808368623
0.0625    0.501210836445431
0.06640625    0.504369418240361
0.0703125    0.50729083086036
0.07421875    0.509992905207181
0.078125    0.512492134713208
0.08203125    0.514803775909651
0.0859375    0.51694194144062
0.08984375    0.518919686090491
0.09375    0.520749086349382
0.09765625    0.52244131400211
0.1015625    0.524006704189558
0.10546875    0.525454818357643
0.109375    0.526794502477917
0.11328125    0.528033940894954
0.1171875    0.529180706129023
0.12109375    0.530241804937861
0.125    0.531223720918541
0.12890625    0.532132453909326
0.1328125    0.532973556431872
0.13671875    0.533752167396101
0.140625    0.534473043273345
0.14453125    0.535140586927941
0.1484375    0.535758874283155
0.15234375    0.53633167898411
0.15625    0.536862495208174
0.16015625    0.537354558761955
0.1640625    0.537810866593615
0.16796875    0.538234194839512
0.171875    0.538627115515297
0.17578125    0.538992011953257
0.1796875    0.539331093080092
0.18359375    0.539646406622228
0.1875    0.539939851319219
0.19140625    0.540213188219745
0.1953125    0.54046805112912
0.19921875    0.540705956272037
0.203125    0.540928311229505
0.20703125    0.541136423204494
0.2109375    0.541331506666706
0.21484375    0.541514690423117
0.21875    0.54168702415742
0.22265625    0.541849484478256
0.2265625    0.542002980513142
0.23046875    0.54214835908221
0.234375    0.542286409483326
0.23828125    0.542417867917776
0.2421875    0.542543421583519
0.24609375    0.542663712460977
0.25    0.542779340814462
0.25390625    0.542890868430589
0.2578125    0.54299882161344
0.26171875    0.54310369395475
0.265625    0.54320594889601
0.26953125    0.543306022098118
0.2734375    0.543404323633036
0.27734375    0.543501240010825
0.28125    0.543597136054416
0.28515625    0.543692356633558
0.2890625    0.543787228268528
0.29296875    0.543882060613371
0.296875    0.543977147827735
0.30078125    0.544072769845654
0.3046875    0.544169193549033
0.30859375    0.544266673852984
0.3125    0.544365454709639
0.31640625    0.544465770036561
0.3203125    0.54456784457542
0.32421875    0.544671894686168
0.328125    0.544778129081559
0.33203125    0.544886749506503
0.3359375    0.544997951366377
0.33984375    0.545111924308157
0.34375    0.545228852757887
0.34765625    0.545348916417781
0.3515625    0.545472290725981
0.35546875    0.545599147281791
0.359375    0.545729654238957
0.36328125    0.545863976669413
0.3671875    0.546002276899705
0.37109375    0.546144714822143
0.375    0.546291448182577
0.37890625    0.546442632846565
0.3828125    0.546598423045543
0.38671875    0.546758971604504
0.390625    0.546924430152575
0.39453125    0.547094949317778
0.3984375    0.547270678907164
0.40234375    0.547451768073409
0.40625    0.547638365468903
0.41015625    0.547830619388263
0.4140625    0.548028677900137
0.41796875    0.548232688969117
0.421875    0.548442800568484
0.42578125    0.548659160784489
0.4296875    0.548881917912806
0.43359375    0.549111220547728
0.4375    0.549347217664677
0.44140625    0.549590058696502
0.4453125    0.549839893604061
0.44921875    0.550096872941486
0.453125    0.550361147916561
0.45703125    0.55063287044655
0.4609375    0.550912193209841
0.46484375    0.551199269693712
0.46875    0.551494254238498
0.47265625    0.551797302078455
0.4765625    0.552108569379542
0.48046875    0.552428213274374
0.484375    0.552756391894541
0.48828125    0.553093264400512
0.4921875    0.553438991009276
0.49609375    0.553793733019923
0.5    0.554157652837292
0.50390625    0.55453091399385
0.5078125    0.55491368116992
0.51171875    0.5553061202124
0.515625    0.555708398152064
0.51953125    0.556120683219575
0.5234375    0.556543144860286
0.52734375    0.556975953747934
0.53125    0.557419281797304
0.53515625    0.557873302175944
0.5390625    0.558338189314993
0.54296875    0.558814118919208
0.546875    0.559301267976225
0.55078125    0.559799814765131
0.5546875    0.560309938864392
0.55859375    0.560831821159184
0.5625    0.561365643848176
0.56640625    0.561911590449797
0.5703125    0.562469845808041
0.57421875    0.563040596097827
0.578125    0.563624028829967
0.58203125    0.564220332855748
0.5859375    0.564829698371183
0.58984375    0.565452316920931
0.59375    0.566088381401933
0.59765625    0.566738086066764
0.6015625    0.567401626526744
0.60546875    0.568079199754807
0.609375    0.568771004088161
0.61328125    0.56947723923074
0.6171875    0.570198106255483
0.62109375    0.57093380760643
0.625    0.57168454710067
0.62890625    0.572450529930138
0.6328125    0.573231962663275
0.63671875    0.574029053246571
0.640625    0.574842011005983
0.64453125    0.575671046648255
0.6484375    0.576516372262129
0.65234375    0.577378201319476
0.65625    0.578256748676335
0.66015625    0.579152230573874
0.6640625    0.580064864639281
0.66796875    0.58099486988659
0.671875    0.58194246671744
0.67578125    0.58290787692178
0.6796875    0.583891323678522
0.68359375    0.584893031556139
0.6875    0.585913226513231
0.69140625    0.586952135899029
0.6953125    0.588009988453882
0.69921875    0.589087014309694
0.703125    0.590183444990328
0.70703125    0.591299513411989
0.7109375    0.592435453883572
0.71484375    0.593591502106981
0.71875    0.594767895177429
0.72265625    0.595964871583717
0.7265625    0.597182671208486
0.73046875    0.598421535328452
0.734375    0.59968170661463
0.73828125    0.600963429132528
0.7421875    0.602266948342342
0.74609375    0.603592511099122
0.75    0.604940365652936
0.75390625    0.606310761649015
0.7578125    0.607703950127892
0.76171875    0.609120183525528
0.765625    0.610559715673428
0.76953125    0.612022801798747
0.7734375    0.613509698524396
0.77734375    0.615020663869128
0.78125    0.61655595724763
0.78515625    0.618115839470595
0.7890625    0.619700572744801
