t    error
0    0
0.02734375    52.344111378603
0.0546875    38.3579027441576
0.08203125    30.9041592730049
0.109375    25.1319906638891
0.13671875    21.0897916299256
0.1640625    17.8326654473366
0.19140625    15.3444405558352
0.21875    13.2681881189071
0.24609375    11.6020296526683
0.2734375    10.1756665081508
0.30078125    8.9945473730624
0.328125    7.96477184018019
0.35546875    7.09418552003171
0.3828125    6.3249078526574
0.41015625    5.6653200545425
0.4375    5.0765545095763
0.46484375    4.56670295117683
0.4921875    4.10803754445808
0.51953125    3.7079364306639
0.546875    3.34582119783584
0.57421875    3.02815980807337
0.6015625    2.73930052312278
0.62890625    2.48475152643659
0.65625    2.25243105621149
0.68359375    2.04692740493735
0.7109375    1.85883293969742
0.73828125    1.69190355529048
0.765625    1.53877731068329
0.79296875    1.40248486614249
0.8203125    1.27724986106319
0.84765625    1.16548758537753
0.875    1.06266060136515
0.90234375    0.970672073893439
0.9296875    0.885957400716024
0.95703125    0.809999826656397
0.984375    0.750484075396118
1.01171875    0.694577596092197
1.0390625    0.6440625958104
1.06640625    0.595967998075968
1.09375    0.552414475467985
1.12109375    0.511095089488283
1.1484375    0.473593690212433
1.17578125    0.438132161639524
1.203125    0.405876082958766
1.23046875    0.375467078677983
1.2578125    0.347746081871787
1.28515625    0.321686784737341
1.3125    0.297879300076358
1.33984375    0.275559104867225
1.3671875    0.255123604101674
1.39453125    0.236013846266055
1.421875    0.218480184421522
1.44921875    0.202124370972447
1.4765625    0.187085501376979
1.50390625    0.173090287961886
1.53125    0.160194567077724
1.55859375    0.148221586330919
1.5859375    0.137165767936832
1.61328125    0.126924330185231
1.640625    0.117447276467299
1.66796875    0.108687914701177
1.6953125    0.10056500875821
1.72265625    0.0930738127349939
1.75    0.0861120325257027
1.77734375    0.0797057037335919
1.8046875    0.0737393048502677
1.83203125    0.0682608595405503
1.859375    0.063147609033488
1.88671875    0.0584626571924044
1.9140625    0.0540805601075252
1.94140625    0.0500740919000198
1.96875    0.0463185543875196
1.99609375    0.0428921708419295
2.0234375    0.0396735474083735
2.05078125    0.0367430780415652
2.078125    0.0339845549979349
2.10546875    0.0314780111489418
2.1328125    0.0291137830361035
2.16015625    0.026969601557635
2.1875    0.0249433020197877
2.21484375    0.023108839480675
2.2421875    0.0213721925172066
2.26953125    0.0198024351127712
2.296875    0.0183140967707688
2.32421875    0.0169705556752714
2.3515625    0.0156951200154464
2.37890625    0.0145448859538172
2.40625    0.0134520325001017
2.43359375    0.0124669668800707
2.4609375    0.011530729774967
2.48828125    0.0106867728511691
2.515625    0.00988491459614999
2.54296875    0.00916149385911034
2.5703125    0.00847496884932437
2.59765625    0.00785449320114851
2.625    0.00726698830040118
2.65234375    0.00673441562732141
2.6796875    0.00623195680616129
2.70703125    0.00577442432619013
2.734375    0.00534503991378473
2.76171875    0.00495154820040182
2.7890625    0.00458498064464167
2.81640625    0.00424612353732207
2.84375    0.00393358270163214
2.87109375    0.00364131643743708
2.8984375    0.00337526846792234
2.92578125    0.00312271433714974
2.953125    0.00289670097227918
2.98046875    0.00267797662043355
3.0078125    0.00248646056153081
3.03515625    0.00229653577392927
3.0625    0.00213476835261317
3.08984375    0.0019693417621032
3.1171875    0.00183324968899932
3.14453125    0.00168864336148637
3.171875    0.00157473180244064
3.19921875    0.00144780110369384
3.2265625    0.00135307072204323
3.25390625    0.00124112724260615
3.28125    0.00116300319536566
3.30859375    0.00106374883706822
3.3359375    0.00100001999315146
3.36328125    0.000911490596815609
3.390625    0.000860257505242973
3.41796875    0.00078077463214285
3.4453125    0.000740404975397788
3.47265625    0.000668534661442581
3.5    0.000637625113139138
3.52734375    0.000572142583722828
3.5546875    0.000549486145983716
3.58203125    0.000491752435818407
3.609375    0.00047390366058012
3.63671875    0.000426636869844236
3.6640625    0.000409090811518498
3.69140625    0.000370460846779355
3.71875    0.000353515697447009
3.74609375    0.000322013257682246
3.7734375    0.000305864862525986
3.80078125    0.000280245729032371
3.828125    0.000265012042664098
3.85546875    0.000244250979952118
3.8828125    0.00022999139992688
3.91015625    0.00021324401463113
3.9375    0.000199974597037915
3.96484375    0.000186545788155344
3.9921875    0.000174251160839907
4.01953125    0.000163569024919434
4.046875    0.000152211659456944
4.07421875    0.000143805913542565
4.1015625    0.000133333288107687
4.12890625    0.000126817433077749
4.15625    0.000117167520341692
4.18359375    0.000112224099908559
4.2109375    0.000110238615262857
4.23828125    0.000109122281334611
4.265625    0.000108017650669328
4.29296875    0.000106924580802807
4.3203125    0.000105877330748171
4.34765625    0.000104855023563935
4.375    0.000103843077135255
4.40234375    0.000102841396965959
4.4296875    0.000101849735855453
4.45703125    0.000100867989012659
4.484375    9.9895934195224E-05
4.51171875    9.89334580317858E-05
4.5390625    9.79803606147987E-05
4.56640625    9.70365219392519E-05
4.59375    9.61017618140342E-05
4.62109375    9.5175955339074E-05
4.6484375    9.42589394218726E-05
4.67578125    9.33505863543067E-05
4.703125    9.24507479311615E-05
4.73046875    9.15592947163582E-05
4.7578125    9.06760915244942E-05
4.78515625    8.98010089005598E-05
4.8125    8.89339223848747E-05
4.83984375    8.80747036943697E-05
4.8671875    8.72232373849865E-05
4.89453125    8.63793975981665E-05
4.921875    8.55430765369194E-05
4.94921875    8.47141511191747E-05
4.9765625    8.38925202777676E-05
5.00390625    8.30780645528104E-05
5.03125    8.22706883943734E-05
5.05859375    8.14702759998105E-05
5.0859375    8.06767361319979E-05
5.11328125    7.98899585456246E-05
5.140625    7.91098554137099E-05
5.16796875    7.83664121499232E-05
5.1953125    7.76404794078452E-05
