t    error
0    0
0.02734375    12.1159136609539
0.0546875    6.60814603334901
0.08203125    4.52530391850765
0.109375    3.43464844968262
0.13671875    2.77487280938549
0.1640625    2.34150861117176
0.19140625    2.0404365704414
0.21875    1.82264390791672
0.24609375    1.66022823854446
0.2734375    1.53704341036917
0.30078125    1.43595614932918
0.328125    1.34809604097112
0.35546875    1.2716320490431
0.3828125    1.1992609601192
0.41015625    1.13233722110476
0.4375    1.06699020977842
0.46484375    1.00376809076646
0.4921875    0.944456415610456
0.51953125    0.887181005399159
0.546875    0.83223504355877
0.57421875    0.779807103984233
0.6015625    0.730005298984598
0.62890625    0.682875793502116
0.65625    0.638417268394807
0.68359375    0.596592349895594
0.7109375    0.557336698761349
0.73828125    0.520566257041457
0.765625    0.486183024929917
0.79296875    0.45407965489111
0.8203125    0.424143089274288
0.84765625    0.396257422228906
0.875    0.370321059325978
0.90234375    0.346265590989527
0.9296875    0.323904167442793
0.95703125    0.303129107732952
0.984375    0.283836429874185
1.01171875    0.265926425016546
1.0390625    0.249304034964915
1.06640625    0.233879075219048
1.09375    0.219566337445591
1.12109375    0.206285598676363
1.1484375    0.193961559206188
1.17578125    0.182523726866294
1.203125    0.171906261867603
1.23046875    0.162047793584527
1.2578125    0.152891218351987
1.28515625    0.144383485478303
1.3125    0.136475377154108
1.33984375    0.129121286695995
1.3671875    0.122278998558721
1.39453125    0.115909472725385
1.421875    0.109976635426362
1.44921875    0.104447177599317
1.4765625    0.0992903620711586
1.50390625    0.0944778400996562
1.53125    0.0899834776367851
1.55859375    0.0857831914605473
1.5859375    0.0818547951535628
1.61328125    0.0781778547770751
1.640625    0.0747335539899283
1.66796875    0.0715045682933947
1.6953125    0.0684749480260638
1.72265625    0.0656300097039188
1.75    0.0629562352771011
1.77734375    0.0604411788617906
1.8046875    0.058073380511018
1.83203125    0.0558422865826934
1.859375    0.0537381762821913
1.88671875    0.0517520939617441
1.9140625    0.0498757867819409
1.94140625    0.0481016473499905
1.96875    0.0464226609775633
1.99609375    0.0448323572123442
2.0234375    0.0433247653213528
2.05078125    0.0418943734247794
2.078125    0.040536090992731
2.10546875    0.0392452144444106
2.1328125    0.0380173955988873
2.16015625    0.0368486127517303
2.1875    0.0357351441608695
2.21484375    0.0346758202016941
2.2421875    0.0336667961561962
2.26953125    0.0327031632070697
2.296875    0.031782202219968
2.32421875    0.0309013890162922
2.3515625    0.030058378872519
2.37890625    0.0292509923157097
2.40625    0.0284772021067134
2.43359375    0.0277351213073956
2.4609375    0.0270229923433797
2.48828125    0.0263391769761063
2.515625    0.0256821471053383
2.54296875    0.0250504763340354
2.5703125    0.0244428322282947
2.59765625    0.0238579692149559
2.625    0.0232947220603247
2.65234375    0.0227519998822924
2.6796875    0.0222287806491427
2.70703125    0.0217241061250547
2.734375    0.0212370772216073
2.76171875    0.0207668497247693
2.7890625    0.0203126303615751
2.81640625    0.0198736731796242
2.84375    0.0194492762139644
2.87109375    0.0190387784155723
2.8984375    0.0186415568184519
2.92578125    0.0182570239296883
2.953125    0.0178846253181477
2.98046875    0.0175238373902519
3.0078125    0.0171741653342366
3.03515625    0.0168351412201823
3.0625    0.0165063222432383
3.08984375    0.0161872890970765
3.1171875    0.0158776444688303
3.14453125    0.0155770116438728
3.171875    0.0152850332127077
3.19921875    0.0150013698713836
3.2265625    0.0147256993081279
3.25390625    0.0144577151690307
3.28125    0.0141971260966801
3.30859375    0.0139436548364716
3.3359375    0.0136970374047871
3.36328125    0.0134570223138273
3.390625    0.0132233698508625
3.41796875    0.0129958514039906
3.4453125    0.0127742488350917
3.47265625    0.0125583538931739
3.5    0.0123479676667772
3.52734375    0.0121429000719309
3.5546875    0.0119429693734631
3.58203125    0.0117480017362062
3.609375    0.0115578308054318
3.63671875    0.0113722973134604
3.6640625    0.0111912487101301
3.69140625    0.0110145388168904
3.71875    0.0108420275011742
3.74609375    0.0106735803714225
3.7734375    0.010509068489174
3.80078125    0.0103483680993045
3.828125    0.0101913603755037
3.85546875    0.0100379311807663
3.8828125    0.00988797084149382
3.91015625    0.00974137393514111
3.9375    0.00959803908795152
3.96484375    0.00945786878782181
3.9921875    0.00932076920298407
4.01953125    0.00918665001414203
4.046875    0.00905542425353965
4.07421875    0.00892700815492996
4.1015625    0.00880132100891761
4.12890625    0.00867828502841068
4.15625    0.00855782521969503
4.18359375    0.00843986926025458
4.2109375    0.00832434738380891
4.23828125    0.0082111922708795
4.265625    0.00810033894415275
4.29296875    0.00799172466945233
4.3203125    0.00788528886339192
4.34765625    0.00778097300224944
4.375    0.0076787205381762
4.40234375    0.0075784768183993
4.4296875    0.00748018900833801
4.45703125    0.00738380601790095
4.484375    0.00728927843283701
4.51171875    0.00719655844756221
4.5390625    0.00710559980219953
4.56640625    0.00701635772176297
4.59375    0.00692878885953069
4.62109375    0.00684285124077309
4.6484375    0.0067585042119799
4.67578125    0.00667570838900517
4.703125    0.00659442561039234
4.73046875    0.00651461889084654
4.7578125    0.00643625237872459
4.78515625    0.00635929131293382
4.8125    0.00628370198301666
4.83984375    0.00620945169188288
4.8671875    0.00613650871834232
4.89453125    0.00606484228245781
4.921875    0.00599442251119742
4.94921875    0.00592522040715516
4.9765625    0.00585720781737262
5.00390625    0.00579035740326837
5.03125    0.00572464261307088
5.05859375    0.00566003765404041
5.0859375    0.0055965174666499
5.11328125    0.0055340576993559
5.140625    0.00547263468449937
5.16796875    0.00541222541544455
5.1953125    0.00535280752454165
5.22265625    0.00529435926140702
5.25    0.00523685947211399
5.27734375    0.00518028758075548
