iteration    errorX    errorY
0    0.707106781186548    0.707106781186548
1    0.35505395183999    0.35505395183999
2    0.195427837472812    0.195427837472812
3    0.107929571763656    0.107929571763656
4    0.0774543302474912    0.0774543302474912
5    0.065480681207045    0.065480681207045
6    0.0511562046099335    0.0511562046099335
7    0.0413098164871089    0.0413098164871089
8    0.030147030560948    0.030147030560948
9    0.0204283505009415    0.0204283505009415
10    0.0129495930404515    0.0129495930404515
11    0.00759193921638124    0.00759193921638124
12    0.00644666841236452    0.00644666841236452
13    0.00559295967234352    0.00559295967234352
14    0.00481860480346274    0.00481860480346274
15    0.00413509046971183    0.00413509046971183
16    0.00354051061547356    0.00354051061547356
17    0.00306458049034617    0.00306458049034617
18    0.00270854241518235    0.00270854241518235
19    0.00237351177239872    0.00237351177239872
20    0.00206687592561686    0.00206687592561686
21    0.00179141522849207    0.00179141522849207
22    0.00154716999365017    0.00154716999365017
23    0.00133262812922664    0.00133262812922664
24    0.00114547262687093    0.00114547262687093
25    0.000983044142478745    0.000983044142478745
26    0.000842619850758653    0.000842619850758653
27    0.000721574626435578    0.000721574626435578
28    0.000617467649477946    0.000617467649477946
29    0.000528082483912776    0.000528082483912776
30    0.000451438803568188    0.000451438803568188
31    0.000385787458223991    0.000385787458223991
32    0.000329596329405163    0.000329596329405163
33    0.000281531653681921    0.000281531653681921
34    0.000240437690117396    0.000240437690117396
35    0.000205316445540191    0.000205316445540191
36    0.000175308427365315    0.000175308427365315
37    0.000149674923926735    0.000149674923926735
38    0.000127782021154369    0.000127782021154369
39    0.000109086388943711    0.000109086388943711
40    9.31227693295235E-05    9.31227693295235E-05
