iteration    errorX    errorY
0    1    1
1    0.190180826175841    0.190180826175841
2    0.06104952990797    0.06104952990797
3    0.0291670013260585    0.0291670013260585
4    0.00822533860169894    0.0104571476087133
5    0.00382030597822847    0.00382030597822847
6    0.00111373559513961    0.00149556749263347
7    0.000463921060944616    0.000463921060944616
8    0.000131503816561906    0.000233653953525451
9    5.26528336832754E-05    0.000132425644182921
10    3.72912328079344E-05    6.30374197884143E-05
