iteration    errorX    errorY
0    0.956940335732209    0.995184726672197
1    0.934033606304266    0.971362523329437
2    0.911675205997263    0.948110563235889
3    0.889852009199979    0.925415196211568
4    0.868551204495097    0.903263098827246
5    0.847760287138207    0.881641266582868
6    0.827467051716824    0.86053700627319
7    0.807659584985147    0.839937928536176
8    0.788326258870324    0.819831940579755
9    0.769455723646131    0.800207239082689
10    0.751036901270066    0.781052303265376
11    0.733058978879919    0.762355888126513
12    0.715511402446036    0.744107017841668
13    0.698383870575516    0.726294979319861
14    0.68166632846473    0.708909315914395
15    0.665348961996596    0.691939821284227
16    0.649422191979156    0.675376533402282
17    0.633876668522058    0.659209728707201
18    0.61870326554766    0.643429916395068
19    0.603893075433517    0.628027832847792
20    0.589437403783122    0.61299443619485
21    0.575327764321809    0.598320901005212
22    0.561555873914849    0.58399861310633
23    0.548113647704793    0.57001916452714
24    0.534993194365213    0.556374348562126
25    0.522186811468061    0.543056154953525
26    0.509686980961924    0.530056765188873
27    0.497486364758504    0.517368547911103
28    0.485577800424768    0.50498405443852
29    0.473954296978197    0.492896014392013
30    0.4626090307827    0.481097331426945
31    0.45153534154276    0.469581079067209
32    0.440726728393477    0.458340496639002
33    0.430176846084203    0.447368985301939
34    0.419879501253528    0.436660104175172
35    0.409828648793437    0.426207566556236
36    0.400018388300501    0.416005236230411
37    0.390442960612012    0.406047123868425
38    0.381096744425043    0.396327383510389
39    0.371974252996426    0.386840309133897
40    0.36307013092174    0.377580331304274
41    0.354379150991389    0.368542013905016
42    0.345896211121943    0.359720050946487
43    0.337616331360935    0.351109263451014
44    0.329534650963356    0.342704596412538
45    0.321646425538128    0.334501115829051
46    0.313947024262886    0.326494005806065
47    0.306431927165431    0.318678565729414
48    0.29909672247026    0.31105020750574
49    0.291937104008605    0.303604452869023
50    0.28494886869048    0.296336930751598
51    0.278127914037234    0.289243374718097
52    0.271470235773171    0.282319620460813
53    0.26497192547482    0.275561603355026
54    0.258629168276474    0.268965356072844
55    0.252438240630656    0.262527006254162
56    0.246395508122189    0.256242774233374
57    0.240497423334597    0.250108970820502
58    0.234740523767574    0.244121995135437
59    0.229121429804309    0.238278332494026
60    0.223636842727462    0.232574552344759
61    0.218283542782635    0.227007306254845
62    0.213058387288203    0.221573325944498
63    0.207958308790383    0.216269421368277
64    0.202980313262471    0.211092478842356
65    0.198121478347183    0.206039459216618
66    0.193378951641074    0.201107396090505
67    0.188749949020015    0.196293394071582
68    0.184231753004763    0.19159462707578
69    0.179821711165648    0.187008336668328
70    0.175517234565454    0.182531830444402
71    0.171315796239567    0.178162480448534
72    0.167214929712513    0.173897721631859
73    0.163212227549994    0.169735050346289
74    0.159305339945597    0.165672022874732
75    0.155491973341327    0.1617062539965
76    0.151769889081161    0.15783541558705
77    0.148136902096835    0.154057235251248
78    0.14459087962509    0.150369494989346
79    0.141129739955618    0.146770029894898
80    0.13775145120899    0.143256726883837
81    0.134454030143823    0.139827523453981
82    0.131235540992517    0.136480406474228
83    0.128094094324847    0.13321341100274
84    0.125027845938764    0.130024619133414
85    0.122034995777749    0.126912158869963
86    0.11911378687408    0.123874203026952
87    0.116262504317394    0.120908968157142
88    0.113479474247943    0.118014713504507
89    0.110763062873942    0.115189739982312
90    0.108111675512448    0.112432389175659
91    0.105523755653192    0.109741042367904
92    0.102997784044817    0.107114119590385
93    0.100532277803002    0.104550078694887
94    0.0981257895399211    0.102047414448321
95    0.09577690651455    0.099604657649068
96    0.0934842498033085    0.0972203742644782
97    0.0912464734905563    0.094893164589012
98    0.0890622638784671    0.0926216624225383
99    0.086930338715815    0.0904045342682988
100    0.0848494464452233    0.088240478550072
101    0.0828183654684305    0.0861282248480769
102    0.0808359034291453    0.0840665331531665
103    0.0789008965130684    0.0820541931388734
104    0.0770122087646685    0.0800900234508833
105    0.0751687314203149    0.0781728710135129
106    0.0733693822573711    0.0763016103527928
107    0.0716131049588716    0.074475142935751
108    0.0698988684934052    0.0726923965255151
109    0.0682256665098431    0.0709523245518484
110    0.0665925167465548    0.0692539054967574
111    0.0649984604547673    0.0675961422948032
112    0.0634425618357265    0.0659780617477698
113    0.0619239074913315    0.0643987139533434
114    0.06044160588792    0.062857171747467
115    0.0589947868328892    0.0613525301600443
116    0.0575826009638442    0.0598839058836722
117    0.0562042192499761    0.0584504367550917
118    0.0548588325053753    0.057051281249049
119    0.0535456509139943    0.0556856179842756
120    0.0522639035659829    0.0543526452412909
121    0.051012838005121    0.0530515804917499
122    0.0497917197870863    0.0517816599390547
123    0.0485998320482943    0.0505421380699654
124    0.04743647508506    0.0493322872169416
125    0.0463009659428339    0.0481513971309621
126    0.0451926380152694    0.0469987745645694
127    0.0441108406528887    0.0458737428648952
128    0.0430549387811157    0.0447756415764287
129    0.0420243125274516    0.0437038260532915
130    0.0410183568575769    0.0426576670807964
131    0.0400364812201617    0.0416365505060632
132    0.0390781092001805    0.0406398768774763
133    0.0381426781805243    0.0396670610927755
134    0.0372296390117135    0.0387175320555667
135    0.0363384556895174    0.0377907323400589
136    0.0354686050402895    0.0368861178638228
137    0.0346195764138362    0.0360031575683858
138    0.033790871383637    0.0351413331074703
139    0.0329820034542407    0.0343001385426973
140    0.032192497775666    0.0334790800465713
141    0.031421890864638    0.0326776756125776
142    0.0306697303324979    0.0318954547722169
143    0.0299355746196268    0.0311319583188155
144    0.0292189927362254    0.0303867380379445
145    0.028519564009299    0.0296593564442943
146    0.0278368778356994    0.0289493865248462
147    0.0271705334410794    0.0282564114881925
148    0.026520139644614    0.027580024519856
