iteration    errorX    errorY
0    0.75    0.75
1    0.375    0.375
2    0.1875    0.1875
3    0.0937500000000001    0.0937500000000001
4    0.0468750000000001    0.0468750000000003
5    0.0234375000000001    0.0234375000000001
6    0.0117187500000001    0.0117187500000003
7    0.00585937500000011    0.00585937500000011
8    0.00292968750000011    0.00292968750000033
9    0.00146484375000011    0.00146484375000011
10    0.000732421875000111    0.000732421875000333
11    0.000366210937500111    0.000366210937500111
12    0.000183105468750111    0.000183105468750333
13    9.1552734375111E-05    9.1552734375111E-05
14    4.5776367187611E-05    4.57763671878331E-05
15    2.2888183593861E-05    2.2888183593861E-05
16    1.1444091796986E-05    1.14440917972081E-05
17    5.72204589854852E-06    5.72204589854852E-06
