iteration    errorX    errorY
0    0.707106781186548    0.707106781186548
1    0.5    0.5
2    0.353553390593274    0.353553390593274
3    0.25    0.25
4    0.176776695296637    0.176776695296637
5    0.125    0.125
6    0.0883883476483184    0.0883883476483184
7    0.0625    0.0625
8    0.0441941738241591    0.0441941738241591
9    0.03125    0.03125
10    0.0220970869120796    0.0220970869120796
11    0.015625    0.015625
12    0.0110485434560398    0.0110485434560398
13    0.0078125    0.0078125
14    0.00552427172801984    0.00552427172801984
15    0.00390625    0.00390625
16    0.00276213586400986    0.00276213586400986
17    0.001953125    0.001953125
18    0.00138106793200488    0.00138106793200488
19    0.0009765625    0.0009765625
20    0.000690533966002382    0.000690533966002382
21    0.00048828125    0.00048828125
22    0.000345266983001191    0.000345266983001191
23    0.000244140625    0.000244140625
24    0.00017263349150054    0.00017263349150054
25    0.0001220703125    0.0001220703125
26    8.63167457502145E-05    8.63167457502145E-05
27    6.103515625E-05    6.103515625E-05
28    4.31583728750518E-05    4.31583728750518E-05
29    3.0517578125E-05    3.0517578125E-05
30    2.15791864375259E-05    2.15791864375259E-05
31    1.52587890625E-05    1.52587890625E-05
32    1.07895932187629E-05    1.07895932187629E-05
33    7.62939453125E-06    7.62939453125E-06
